iter	Passed	Remaining
893	1791	212
894	1792	210
895	1795	208
896	1796	206
897	1798	204
898	1799	202
899	1800	200
900	1802	198
901	1803	195
902	1804	193
903	1806	191
904	1807	189
905	1809	187
906	1810	185
907	1811	183
908	1813	181
909	1814	179
910	1815	177
911	1817	175
912	1818	173
913	1819	171
914	1821	169
915	1822	167
916	1823	165
917	1825	163
918	1827	161
919	1828	159
920	1830	156
921	1831	154
922	1832	152
923	1834	150
924	1835	148
925	1837	146
926	1838	144
927	1840	142
928	1841	140
929	1843	138
930	1844	136
931	1845	134
932	1846	132
933	1848	130
934	1849	128
935	1850	126
936	1852	124
937	1853	122
938	1855	120
939	1857	118
940	1858	116
941	1859	114
942	1861	112
943	1862	110
944	1863	108
945	1864	106
946	1866	104
947	1867	102
948	1869	100
949	1870	98
950	1871	96
951	1873	94
952	1874	92
953	1875	90
954	1877	88
955	1878	86
956	1879	84
957	1880	82
958	1882	80
959	1883	78
960	1884	76
961	1886	74
962	1887	72
963	1888	70
964	1890	68
965	1891	66
966	1892	64
967	1894	62
968	1895	60
969	1896	58
970	1898	56
971	1899	54
972	1900	52
973	1902	50
974	1903	48
975	1904	46
976	1906	44
977	1907	42
978	1908	40
979	1910	38
980	1911	37
981	1912	35
982	1914	33
983	1915	31
984	1916	29
985	1918	27
986	1919	25
987	1921	23
988	1924	21
989	1926	19
990	1927	17
991	1929	15
992	1931	13
993	1933	11
994	1935	9
995	1936	7
996	1938	5
997	1939	3
998	1940	1
999	1941	0
